num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0084681     3           2013/12/08  20:03        58.454      -91.479  
0084681     B           2014/01/15  17:19        58.125      -87.179  
0084681     A           2014/01/15  17:53        58.117      -87.179  
0084681     B           2014/01/15  19:43        58.373      -86.643  
0084681     1           2014/01/19  18:50        58.007      -86.834  
0084681     2           2014/01/21  17:44        57.825      -86.590  
0084681     1           2014/01/21  18:27        57.819      -86.598  
0084681     B           2014/01/21  20:10        57.821      -86.568  
0084681     A           2014/01/23  17:20        57.829      -86.367  
0084681     2           2014/01/23  18:07        57.834      -86.368  
0084681     A           2014/01/23  18:41        57.846      -86.353  
0084681     A           2014/01/23  19:47        57.851      -86.341  
0084681     B           2014/01/23  20:44        57.828      -86.391  
0084681     B           2014/01/25  17:13        57.669      -85.770  
0084681     B           2014/01/25  17:46        57.704      -85.729  
0084681     B           2014/01/25  18:37        57.672      -85.802  
0084681     A           2014/01/25  19:26        57.661      -85.785  
0084681     A           2014/01/27  17:20        57.370      -85.695  
0084681     3           2014/01/27  19:00        57.354      -85.676  
0084681     A           2014/01/27  20:40        57.337      -85.662  
0084681     2           2014/01/29  18:40        57.031      -85.429  
0084681     B           2014/01/29  19:53        57.029      -85.438  
0084681     2           2014/01/29  20:23        57.031      -85.437  
0084681     2           2014/01/31  18:17        57.005      -85.184  
0084681     2           2014/01/31  20:01        57.001      -85.164  
0084681     A           2014/01/31  20:42        57.001      -85.151  
0084681     2           2014/02/02  17:55        56.931      -84.764  
0084681     A           2014/02/02  19:37        56.923      -84.752  
0084681     A           2014/02/04  17:32        56.905      -84.560  
0084681     B           2014/02/04  19:14        56.901      -84.572  
0084681     A           2014/02/04  20:45        56.893      -84.550  
0084681     A           2014/02/06  17:12        56.831      -84.188  
0084681     A           2014/02/06  18:54        56.831      -84.183  
0084681     A           2014/02/06  19:57        56.832      -84.195  
0084681     1           2014/02/06  20:34        56.837      -84.167  
0084681     A           2014/02/08  18:31        56.779      -84.092  
0084681     2           2014/02/08  20:11        56.785      -84.102  
0084681     1           2014/02/08  20:46        56.785      -84.098  
0084681     3           2014/02/10  18:08        56.757      -84.052  
0084681     2           2014/02/10  19:49        56.759      -84.048  
0084681     A           2014/02/12  19:27        56.856      -84.038  
0084681     A           2014/02/12  20:48        56.852      -84.021  
0084681     B           2014/02/14  17:26        56.800      -83.880  
0084681     B           2014/02/14  19:05        56.794      -83.881  
0084681     B           2014/02/14  20:01        56.803      -83.887  
0084681     2           2014/02/14  20:44        56.804      -83.875  
0084681     A           2014/02/16  17:05        56.844      -83.889  
0084681     2           2014/02/16  18:42        56.837      -83.928  
0084681     A           2014/02/16  20:22        56.839      -83.938  
0084681     B           2014/02/18  18:19        56.930      -83.921  
0084681     A           2014/02/18  19:58        56.906      -83.956  
0084681     B           2014/02/20  17:21        56.840      -84.092  
0084681     B           2014/02/20  17:57        56.877      -84.093  
0084681     B           2014/02/20  19:13        56.823      -84.151  
0084681     A           2014/02/20  20:51        56.837      -84.133  
0084681     B           2014/02/22  17:39        56.849      -84.403  
0084681     3           2014/02/24  17:17        56.743      -84.342  
0084681     B           2014/02/24  18:53        56.741      -84.336  
0084681     A           2014/02/24  20:53        56.734      -84.318  
0084681     A           2014/02/26  18:29        56.691      -84.042  
0084681     A           2014/02/26  20:05        56.687      -84.037  
0084681     1           2014/02/28  18:14        56.696      -84.030  
0084681     B           2014/02/28  19:15        56.699      -84.012  
0084681     A           2014/02/28  19:49        56.696      -84.017  
0084681     B           2014/02/28  20:56        56.696      -84.003  
0084681     B           2014/03/02  17:14        56.774      -83.896  
0084681     B           2014/03/02  17:44        56.774      -83.893  
0084681     3           2014/03/02  19:26        56.764      -83.899  
0084681     A           2014/03/02  20:08        56.764      -83.892  
0084681     A           2014/03/04  17:30        56.788      -83.856  
0084681     A           2014/03/04  19:04        56.789      -83.865  
0084681     B           2014/03/04  20:42        56.778      -83.880  
0084681     A           2014/03/06  17:08        56.805      -83.727  
0084681     B           2014/03/06  18:40        56.807      -83.744  
0084681     B           2014/03/06  20:09        56.806      -83.750  
0084681     A           2014/03/08  18:19        56.758      -83.654  
0084681     2           2014/03/08  19:59        56.750      -83.653  
0084681     B           2014/03/10  17:55        56.747      -83.654  
0084681     3           2014/03/10  19:36        56.750      -83.664  
0084681     A           2014/03/10  20:10        56.751      -83.669  
0084681     B           2014/03/12  17:09        56.702      -83.637  
0084681     A           2014/03/12  17:43        56.702      -83.638  
0084681     A           2014/03/12  19:14        56.704      -83.628  
0084681     A           2014/03/12  20:56        56.707      -83.610  
0084681     B           2014/03/14  17:09        56.737      -83.724  
0084681     A           2014/03/14  18:52        56.734      -83.724  
0084681     A           2014/03/14  20:13        56.728      -83.725  
0084681     B           2014/03/16  17:01        56.690      -83.737  
0084681     2           2014/03/16  18:40        56.701      -83.700  
0084681     B           2014/03/16  19:23        56.701      -83.695  
0084681     A           2014/03/16  20:10        56.697      -83.710  
0084681     B           2014/03/18  18:07        56.700      -83.774  
0084681     A           2014/03/18  19:47        56.696      -83.782  
0084681     1           2014/03/20  17:57        56.757      -83.843  
0084681     A           2014/03/20  19:24        56.757      -83.845  
0084681     B           2014/03/22  17:01        56.669      -83.641  
0084681     2           2014/03/22  17:34        56.675      -83.654  
0084681     A           2014/03/22  19:01        56.673      -83.656  
0084681     B           2014/03/22  20:16        56.668      -83.650  
0084681     A           2014/03/24  17:12        56.631      -83.503  
0084681     A           2014/03/24  18:38        56.634      -83.502  
0084681     B           2014/03/24  19:28        56.633      -83.495  
0084681     A           2014/03/24  20:20        56.628      -83.511  
